El Pinell de Brai,Terra Alta ,1112
El Pla de Santa Maria,Alt Camp ,2009
El Pla del Penedès,Alt Penedès ,931
El Poal,Pla d'Urgell,660
El Pont d'Armentera,Alt Camp ,580
El Pont de Bar,Alt Urgell ,193
El Pont de Suert,Alta Ribagorça ,2317
El Pont de Vilomara i Rocafort,Bages ,3310
El Port de la Selva,Alt Empordà ,908
El Prat de Llobregat,Baix Llobregat ,63069
El Rourell,Alt Camp,354
El Soler,Rosselló,6928
El Soleràs,Garrigues,382
El Tec,Vallespir,84
El Vendrell,Baix Penedès,31953
El Vilosell,Garrigues,202
El Voló,Rosselló,4858
Elna,Rosselló,6410
Els Alamús,Segrià,701
Els Angles,Capcir,590
Els Banys d'Arles,Vallespir,3644
Els Garidells,Alt Camp,196
Els Guiamets,Priorat,330
Els Hostalets de Pierola,Anoia,2003
Els Masos,Conflent,562
Els Omellons,Garrigues,252
Els Omells de na Gaia,Urgell ,159
Els Pallaresos,Tarragonès ,3346
Els Plans de Sió,Segarra,570
Els Prats de Rei,Anoia,532
Els Torms,Garrigues,189
Enveig,Cerdanya,621
Er,Cerdanya,551
Es Bòrdes,Val d'Aran,247
Escaró,Conflent,84
Esparreguera,Baix Llobregat,21145
Espinelves,Osona,199
Espirà de Conflent,Conflent,125
Espirà de l'Aglí,Rosselló,2850
Esplugues de Llobregat,Baix Llobregat,46808
Espolla,Alt Empordà,367
Esponellà,Pla de l'Estany,437
Espot,Pallars Sobirà,360
Estagell,Rosselló,1941
Estamariu,Alt Urgell,117
Estaràs,Segarra,184
Estavar,Cerdanya,409
Esterri d'Àneu,Pallars Sobirà,803
Esterri de Cardós,Pallars Sobirà,69
Estoer,Conflent,134
Eus,Conflent,375
Falset,Priorat,2717
Farrera,Pallars Sobirà,104
Figaró-Montmany,Vallès Oriental,1019
Fígols,Berguedà,42
Fígols i Alinyà,Alt Urgell,254
Figueres,Alt Empordà,39641
Figuerola del Camp,Alt Camp,336
Fillols,Conflent,141
Finestret,Conflent,135
Flaçà,Gironès,997
Flix,Ribera d'Ebre,3960
Fogars de la Selva,Selva,1338
Fogars de Montclús,Vallès Oriental,437
Foixà,Baix Empordà,325
Folgueroles,Osona,1983
Fondarella,Pla d'Urgell,783
Fonollosa,Bages,1280
Font-rabiosa,Capcir,91
"Font-romeu, Odelló i Vià",Cerdanya,2003
Font-rubí,Alt Penedès,1394
Fontanals de Cerdanya,Cerdanya,425
Fontanilles,Baix Empordà,175
Fontcoberta,Pla de l'Estany,1181
Fontpedrosa,Conflent,123
Foradada,Noguera,197
Forallac,Baix Empordà,1746
Forès,Conca de Barberà,57
Formiguera,Capcir,435
Fornells de la Selva,Gironès,1890
Forques,Rosselló,416
Fortià,Alt Empordà,582
Freginals,Montsià,444
Fullà,Conflent,329
Fulleda,Garrigues,115
